anio;provincia;distrito;ugel;nivel_agrupado;gestion;area;total_estudiantes;mujeres;hombres;retirados;total_atraso
2024;HUANCAYO;HUANCAYO;UGEL HUANCAYO;Primaria;Pública de gestión directa;Rural;25;15;10;0;2
2024;HUANCAYO;EL TAMBO;UGEL HUANCAYO;Secundaria;Pública de gestión directa;Rural;38;25;13;0;4
2024;JAUJA;MOLINOS;UGEL CHANCHAMAYO;Primaria;Pública de gestión directa;Rural;9;3;6;0;0
2024;CHANCHAMAYO;PERENE;UGEL PICHANAKI;Primaria;Pública de gestión directa;Urbana;2413;1182;1231;5;58
2024;CONCEPCION;HEROINAS TOLEDO;UGEL CONCEPCIÓN;Inicial;Pública de gestión directa;Rural;59;20;39;0;0
2024;JAUJA;PANCAN;UGEL JAUJA;Inicial;Pública de gestión directa;Rural;54;27;27;0;0
2024;JAUJA;PANCAN;UGEL JAUJA;Primaria;Pública de gestión directa;Rural;12;4;8;0;0
2024;YAULI;HUAY-HUAY;UGEL YAULI;Inicial;Pública de gestión directa;Rural;103;52;51;0;0
2024;YAULI;MARCAPOMACOCHA;UGEL YAULI;Inicial;Pública de gestión directa;Rural;34;16;18;0;0
2024;HUANCAYO;CHILCA;UGEL HUANCAYO;Primaria;Privada;Urbana;3632;1727;1905;3;11
2024;JAUJA;JAUJA;UGEL JAUJA;Primaria;Privada;Urbana;1029;485;544;0;2
2024;CONCEPCION;NUEVE DE JULIO;UGEL CONCEPCIÓN;Primaria;Pública de gestión directa;Urbana;105;50;55;0;0
2024;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Primaria;Pública de gestión privada;Urbana;473;259;214;0;0
2024;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Primaria;Privada;Urbana;538;259;279;1;0
2024;SATIPO;MAZAMARI;UGEL SATIPO;Primaria;Privada;Urbana;372;180;192;2;8
2024;JUNIN;CARHUAMAYO;UGEL JUNÍN;Primaria;Privada;Urbana;175;83;92;0;0
2024;JUNIN;JUNIN;UGEL JUNÍN;Primaria;Privada;Urbana;62;30;32;0;0
2024;CHANCHAMAYO;PICHANAQUI;UGEL PICHANAKI;Primaria;Pública de gestión privada;Urbana;1114;553;561;0;2
2024;HUANCAYO;HUALHUAS;UGEL HUANCAYO;Inicial;Pública de gestión directa;Rural;83;38;45;0;0
2024;HUANCAYO;SAN AGUSTIN;UGEL HUANCAYO;Inicial;Privada;Urbana;178;94;84;0;0
2024;HUANCAYO;CHILCA;UGEL HUANCAYO;Inicial;Privada;Urbana;2176;1073;1103;11;0
2024;HUANCAYO;SAN AGUSTIN;UGEL HUANCAYO;Primaria;Privada;Urbana;715;331;384;1;1
2024;HUANCAYO;SICAYA;UGEL HUANCAYO;Inicial;Privada;Urbana;117;60;57;0;0
2024;JAUJA;HUAMALI;UGEL JAUJA;Inicial;Pública de gestión directa;Rural;19;10;9;0;0
2024;JAUJA;POMACANCHA;UGEL JAUJA;Inicial;Pública de gestión directa;Rural;50;26;24;0;0
2024;YAULI;CHACAPALPA;UGEL JAUJA;Primaria;Pública de gestión directa;Rural;5;2;3;0;0
2024;YAULI;SUITUCANCHA;UGEL JAUJA;Primaria;Pública de gestión directa;Rural;2;0;2;0;0
2024;JAUJA;SINCOS;UGEL CHUPACA;Secundaria;Pública de gestión directa;Rural;42;17;25;0;3
2024;SATIPO;RIO TAMBO;UGEL RIO ENE-MANTARO;Secundaria;Pública de gestión directa;Rural;1173;536;637;18;322
2024;JAUJA;JAUJA;UGEL JAUJA;Inicial;Privada;Urbana;376;173;203;2;0
2024;SATIPO;VIZCATAN DEL ENE;UGEL RIO ENE-MANTARO;Inicial;Pública de gestión directa;Rural;480;228;252;0;0
2024;JAUJA;JAUJA;UGEL JAUJA;Secundaria;Privada;Urbana;905;368;537;2;5
2024;SATIPO;RIO TAMBO;UGEL RIO ENE-MANTARO;Inicial;Pública de gestión directa;Rural;1003;486;517;1;0
2024;CONCEPCION;MATAHUASI;UGEL CONCEPCIÓN;Secundaria;Pública de gestión directa;Rural;64;36;28;0;6
2024;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Inicial;Privada;Urbana;219;101;118;0;0
2024;CONCEPCION;CONCEPCION;UGEL CONCEPCIÓN;Secundaria;Privada;Urbana;301;127;174;2;2
2024;HUANCAYO;PILCOMAYO;UGEL HUANCAYO;Primaria;Privada;Urbana;1133;557;576;2;3
