anio;id_servicio;cod_mod;anexo;nombre;gestion;id_nivel;nivel_original;nivel_agrupado;total_estudiantes;mujeres;hombres;retirados;total_atraso;departamento;provincia;distrito;ugel;area
2024;1439314-0;1439314;0;VIRGEN DE GUADALUPE;Privada;A2;Inicial - Jardín;Inicial;3;1;2;1;0;JUNIN;SATIPO;MAZAMARI;UGEL SATIPO;Urbana
2024;1439348-0;1439348;0;DANIEL ALCIDES CARRION;Pública de gestión directa;A2;Inicial - Jardín;Inicial;34;17;17;0;0;JUNIN;SATIPO;COVIRIALI;UGEL SATIPO;Rural
2024;1439363-0;1439363;0;VIRGEN DE GUADALUPE;Privada;B0;Primaria;Primaria;35;18;17;2;3;JUNIN;SATIPO;MAZAMARI;UGEL SATIPO;Urbana
2024;1439371-0;1439371;0;RAFAEL GASTELUA;Pública de gestión directa;A2;Inicial - Jardín;Inicial;237;114;123;0;0;JUNIN;SATIPO;SATIPO;UGEL SATIPO;Urbana
2024;1439397-0;1439397;0;SAN FRANCISCO DE ASIS;Privada;B0;Primaria;Primaria;135;69;66;0;0;JUNIN;SATIPO;SATIPO;UGEL SATIPO;Urbana
2024;1439405-0;1439405;0;31835;Pública de gestión directa;B0;Primaria;Primaria;15;4;11;0;0;JUNIN;SATIPO;RIO TAMBO;UGEL RIO ENE-MANTARO;Rural
2024;1439413-0;1439413;0;30632 DIVINO NIÑO JESUS;Pública de gestión privada;F0;Secundaria;Secundaria;475;263;212;0;3;JUNIN;SATIPO;SATIPO;UGEL SATIPO;Urbana
2024;1439421-0;1439421;0;31994;Pública de gestión directa;B0;Primaria;Primaria;50;20;30;0;0;JUNIN;SATIPO;MAZAMARI;UGEL SATIPO;Rural
2024;1439439-0;1439439;0;NIÑO JESUS;Privada;B0;Primaria;Primaria;126;55;71;0;2;JUNIN;SATIPO;MAZAMARI;UGEL SATIPO;Urbana
2024;1439447-0;1439447;0;CESAR'S;Privada;A2;Inicial - Jardín;Inicial;36;17;19;0;0;JUNIN;SATIPO;PANGOA;UGEL PANGOA;Urbana
2024;1439454-0;1439454;0;CESAR'S;Privada;B0;Primaria;Primaria;181;94;87;0;0;JUNIN;SATIPO;PANGOA;UGEL PANGOA;Urbana
2024;1439462-0;1439462;0;CESAR'S;Privada;F0;Secundaria;Secundaria;126;54;72;0;3;JUNIN;SATIPO;PANGOA;UGEL PANGOA;Urbana
2024;1439496-0;1439496;0;31060;Pública de gestión directa;B0;Primaria;Primaria;24;13;11;0;1;JUNIN;SATIPO;RIO TAMBO;UGEL RIO ENE-MANTARO;Rural
2024;1439504-0;1439504;0;30846;Pública de gestión directa;B0;Primaria;Primaria;33;14;19;0;0;JUNIN;SATIPO;PANGOA;UGEL PANGOA;Rural
2024;1439512-0;1439512;0;31827;Pública de gestión directa;F0;Secundaria;Secundaria;105;44;61;0;5;JUNIN;SATIPO;RIO NEGRO;UGEL SATIPO;Rural
2024;1439520-0;1439520;0;31058;Pública de gestión directa;B0;Primaria;Primaria;65;34;31;0;18;JUNIN;SATIPO;RIO TAMBO;UGEL RIO ENE-MANTARO;Rural
2024;1439538-0;1439538;0;30001-99;Pública de gestión directa;B0;Primaria;Primaria;48;21;27;0;0;JUNIN;SATIPO;PANGOA;UGEL PANGOA;Rural
2024;1439546-0;1439546;0;MARIO VARGAS LLOSA;Pública de gestión directa;B0;Primaria;Primaria;62;25;37;0;0;JUNIN;SATIPO;PANGOA;UGEL PANGOA;Rural
2024;1439553-0;1439553;0;PAMER;Privada;A2;Inicial - Jardín;Inicial;92;48;44;0;0;JUNIN;SATIPO;SATIPO;UGEL SATIPO;Urbana
2024;1439561-0;1439561;0;PAMER;Privada;F0;Secundaria;Secundaria;168;86;82;1;1;JUNIN;SATIPO;SATIPO;UGEL SATIPO;Urbana
